album_name,track_title,track_n,lyric,line
Johnny Boy - EP,Johnny Boy,1,He stays home from work this time,1
Johnny Boy - EP,Johnny Boy,1,He never really told his wife,2
Johnny Boy - EP,Johnny Boy,1,He never really told a lie but this time he decides that it's alright,3
Johnny Boy - EP,Johnny Boy,1,It's alright,4
Johnny Boy - EP,Johnny Boy,1,No one really knows his mind and no one knows behind his eyes,5
Johnny Boy - EP,Johnny Boy,1,The man deserves a medal,6
Johnny Boy - EP,Johnny Boy,1,But he's never really won a prize before,7
Johnny Boy - EP,Johnny Boy,1,He goes to lock the door,8
Johnny Boy - EP,Johnny Boy,1,He is falling in love,9
Johnny Boy - EP,Johnny Boy,1,He knows it's enough,10
Johnny Boy - EP,Johnny Boy,1,And the world looks down and frowns,11
Johnny Boy - EP,Johnny Boy,1,"Get up Johnny Boy, get up Johnny Boy",22
Johnny Boy - EP,Johnny Boy,1,Get up 'cause the world has left you lying on the ground,13
Johnny Boy - EP,Johnny Boy,1,"You're my pride and joy,you're my pride and joy",14
Johnny Boy - EP,Johnny Boy,1,Get up Johnny boy because we all need you now,15
Johnny Boy - EP,Johnny Boy,1,We all need you now,16
Johnny Boy - EP,Johnny Boy,1,"Someone said,where you going?",17
Johnny Boy - EP,Johnny Boy,1,"Someone said to you,goodbye",18
Johnny Boy - EP,Johnny Boy,1,They deflect the disrespect when they say that they blame it on the times,19
Johnny Boy - EP,Johnny Boy,1,They blame it on the time,20
Johnny Boy - EP,Johnny Boy,1,We all know you're qualified to fix a chair and love your wife,21
Johnny Boy - EP,Johnny Boy,1,They all know you're qualified but they lie when they blame it on the times,22
Johnny Boy - EP,Johnny Boy,1,And we blame it on the times,23
Johnny Boy - EP,Johnny Boy,1,He is falling in love,24
Johnny Boy - EP,Johnny Boy,1,He knows it's enough,25
Johnny Boy - EP,Johnny Boy,1,And the world looks down and frowns,26
Johnny Boy - EP,Johnny Boy,1,"Get up Johnny Boy,get up Johnny Boy",27
Johnny Boy - EP,Johnny Boy,1,Get up 'cause the world has left you lying on the ground,28
Johnny Boy - EP,Johnny Boy,1,"You're my pride and joy,you're my pride and joy",29
Johnny Boy - EP,Johnny Boy,1,Get up Johnny boy because we all need you now,30
Johnny Boy - EP,Johnny Boy,1,We all need you now,31
Johnny Boy - EP,Johnny Boy,1,I will carry all your names and I will carry all your shame,32
Johnny Boy - EP,Johnny Boy,1,And I will carry all your names and I will carry all your shame,33
Johnny Boy - EP,Johnny Boy,1,And I will carry all your names and I will carry all your shame,34
Johnny Boy - EP,Johnny Boy,1,"Get up Johnny Boy,get up Johnny Boy",35
Johnny Boy - EP,Johnny Boy,1,Get up 'cause the world has left you lying on the ground,36
Johnny Boy - EP,Johnny Boy,1,"You're my pride and joy,you're my pride and joy",37
Johnny Boy - EP,Johnny Boy,1,Get up Johnny boy because we all need you now,38
Johnny Boy - EP,Johnny Boy,1,"Get up Johnny Boy,get up Johnny Boy",39
Johnny Boy - EP,Johnny Boy,1,Get up 'cause the world has left you lying on the ground,40
Johnny Boy - EP,Johnny Boy,1,"You're my pride and joy,you're my pride and joy",41
Johnny Boy - EP,Johnny Boy,1,Get up Johnny boy because we all need you now,42
Johnny Boy - EP,Air Catcher,2,I don't fall slow like I used to,1
Johnny Boy - EP,Air Catcher,2,I fall straight down,2
Johnny Boy - EP,Air Catcher,2,You've stolen my air catcher,3
Johnny Boy - EP,Air Catcher,2,That kept me safe and sound,4
Johnny Boy - EP,Air Catcher,2,My parachutes will guide me,5
Johnny Boy - EP,Air Catcher,2,Safely to ground,6
Johnny Boy - EP,Air Catcher,2,But now the cord's not working,7
Johnny Boy - EP,Air Catcher,2,And I see you staring me down,8
Johnny Boy - EP,Air Catcher,2,I won't fall in,9
Johnny Boy - EP,Air Catcher,2,Love with falling,10
Johnny Boy - EP,Air Catcher,2,I will try to avoid,11
Johnny Boy - EP,Air Catcher,2,Those eyes,12
Johnny Boy - EP,Air Catcher,2,Oh,13
Johnny Boy - EP,Air Catcher,2,I think you would beat,14
Johnny Boy - EP,Air Catcher,2,The moon in a pretty contest,15
Johnny Boy - EP,Air Catcher,2,And the moon just happened to be,16
Johnny Boy - EP,Air Catcher,2,The very first thing that I missed,17
Johnny Boy - EP,Air Catcher,2,I was doing fine on my own,18
Johnny Boy - EP,Air Catcher,2,And there wasn't much I lacked,19
Johnny Boy - EP,Air Catcher,2,But you've stolen my air catcher,20
Johnny Boy - EP,Air Catcher,2,And I don't know if I want it back,21
Johnny Boy - EP,Air Catcher,2,I won't fall in,22
Johnny Boy - EP,Air Catcher,2,Love with falling,23
Johnny Boy - EP,Air Catcher,2,I will try to avoid,24
Johnny Boy - EP,Air Catcher,2,Those eyes,25
Johnny Boy - EP,Air Catcher,2,'Cause I'm not sure,26
Johnny Boy - EP,Air Catcher,2,I want to give you,27
Johnny Boy - EP,Air Catcher,2,Tools that can destroy,28
Johnny Boy - EP,Air Catcher,2,My heart,29
Johnny Boy - EP,Air Catcher,2,And I just don't say,30
Johnny Boy - EP,Air Catcher,2,What you want to hear,31
Johnny Boy - EP,Air Catcher,2,So I'll write my fears,32
Johnny Boy - EP,Air Catcher,2,And I don't believe,33
Johnny Boy - EP,Air Catcher,2,In talking just to breathe,34
Johnny Boy - EP,Air Catcher,2,And falling selfishly,35
